service_id,date,exception_type
2773715,20190727,1
2773715,20190803,1
2773715,20190810,1
2773715,20190817,1
2773715,20190824,1
12773714,20190730,1
12773714,20190731,1
12773714,20190801,1
12773714,20190802,1
12773714,20190803,1
12773714,20190806,1
12773714,20190807,1
12773714,20190808,1
12773714,20190809,1
12773714,20190810,1
12773714,20190813,1
12773714,20190814,1
12773714,20190815,1
12773714,20190817,1
12773714,20190820,1
12773714,20190821,1
12773714,20190822,1
12773714,20190823,1
12773714,20190824,1
2773714,20190729,1
2773714,20190730,1
2773714,20190731,1
2773714,20190801,1
2773714,20190802,1
2773714,20190805,1
2773714,20190806,1
2773714,20190807,1
2773714,20190808,1
2773714,20190809,1
2773714,20190812,1
2773714,20190813,1
2773714,20190814,1
2773714,20190816,1
2773714,20190819,1
2773714,20190820,1
2773714,20190821,1
2773714,20190822,1
2773714,20190823,1
12773712,20190827,1
12773712,20190828,1
12773712,20190829,1
12773712,20190830,1
12773712,20190831,1
12787699,20190429,1
12787699,20190502,1
12787699,20190509,1
12787699,20190520,1
12787699,20190527,1
12787699,20190531,1
12787699,20190603,1
12787699,20190610,1
12787699,20190611,1
12787699,20190617,1
12787699,20190624,1
12787699,20190701,1
12787699,20190708,1
12787699,20190909,1
12787699,20190923,1
12787699,20190930,1
12787699,20191007,1
12787699,20191014,1
12787699,20191021,1
2773712,20190826,1
2773712,20190827,1
2773712,20190828,1
2773712,20190829,1
2773712,20190830,1
12773711,20190716,1
12773711,20190717,1
12773711,20190718,1
12773711,20190719,1
12773711,20190720,1
12773711,20190723,1
12773711,20190724,1
12773711,20190725,1
12773711,20190726,1
12773711,20190727,1
12787698,20190428,1
12787698,20190519,1
12787698,20190616,1
12787698,20190623,1
12787698,20190630,1
12787698,20190707,1
12787698,20190714,1
12787698,20190915,1
2787698,20190427,1
2787698,20190518,1
2787698,20190615,1
2787698,20190622,1
2787698,20190629,1
2787698,20190706,1
2787698,20190713,1
2787698,20190914,1
2773711,20190715,1
2773711,20190716,1
2773711,20190717,1
2773711,20190718,1
2773711,20190719,1
2773711,20190722,1
2773711,20190723,1
2773711,20190724,1
2773711,20190725,1
2773711,20190726,1
12787697,20190505,1
12787697,20190512,1
12787697,20190526,1
12787697,20190602,1
12787697,20190609,1
12787697,20190908,1
12787697,20190922,1
12787697,20190929,1
12787697,20191006,1
12787697,20191013,1
12787697,20191020,1
2773710,20190621,1
2787699,20190428,1
2787699,20190501,1
2787699,20190508,1
2787699,20190519,1
2787699,20190526,1
2787699,20190530,1
2787699,20190602,1
2787699,20190609,1
2787699,20190610,1
2787699,20190616,1
2787699,20190623,1
2787699,20190630,1
2787699,20190707,1
2787699,20190908,1
2787699,20190922,1
2787699,20190929,1
2787699,20191006,1
2787699,20191013,1
2787699,20191020,1
12773716,20190721,1
12773716,20190901,1
12773715,20190728,1
12773715,20190804,1
12773715,20190811,1
12773715,20190818,1
12773715,20190825,1
2787697,20190504,1
2787697,20190511,1
2787697,20190525,1
2787697,20190601,1
2787697,20190608,1
2787697,20190907,1
2787697,20190921,1
2787697,20190928,1
2787697,20191005,1
2787697,20191012,1
2787697,20191019,1
12845673,20190426,1
12845673,20190618,1
12845673,20190619,1
12845673,20190620,1
12845673,20190621,1
12845673,20190625,1
12845673,20190626,1
12845673,20190627,1
12845673,20190628,1
12773710,20190622,1
2773716,20190720,1
2773716,20190831,1
12928852,20190425,1
12852774,20190427,1
12852774,20190615,1
12852774,20190629,1
2852774,20190426,1
2852774,20190614,1
2852774,20190628,1
12787700,20190513,1
12787700,20190902,1
12787700,20190916,1
2773704,20190721,1
2773704,20190728,1
2773704,20190804,1
2773704,20190811,1
2773704,20190815,1
2773704,20190818,1
2773704,20190825,1
2928852,20190424,1
2874384,20190429,1
2874384,20190430,1
2874384,20190502,1
2874384,20190503,1
2874384,20190507,1
2874384,20190509,1
2874384,20190513,1
2874384,20190514,1
2874384,20190515,1
2874384,20190516,1
2874384,20190520,1
2874384,20190521,1
2874384,20190522,1
2874384,20190523,1
2874384,20190527,1
2874384,20190528,1
2874384,20190529,1
2874384,20190603,1
2874384,20190605,1
2874384,20190606,1
2874384,20190611,1
2874384,20190612,1
2874384,20190613,1
2874384,20190701,1
2874384,20190702,1
