route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
2012519,2928852,9129288521002981,EROC,EROC,1,
2012519,2773710,9727737101002981,EROC,EROC,1,
2012519,2787697,9727876971002981,EROC,EROC,1,
2012519,2787698,9727876981002981,EROC,EROC,1,
2012519,2787699,9727876991002981,EROC,EROC,1,
2012519,2787700,9727877001002981,EROC,EROC,1,
2012519,2845673,9728456731002981,EROC,EROC,1,
2012519,2852774,9728527741002981,EROC,EROC,1,
2012519,2874384,9728743841002981,EROC,EROC,1,
2012519,2874385,9728743851002981,EROC,EROC,1,
2012519,2919386,9729193861002981,EROC,EROC,1,
2012519,2919387,9729193871002981,EROC,EROC,1,
2012519,2928852,9729288521002981,EROC,EROC,1,
2012519,2773710,6927737101437137,EBON,EBON,1,
2012519,2845673,6928456731437137,EBON,EBON,1,
2012519,2852774,6928527741437137,EBON,EBON,1,
2012519,2874384,6928743841437137,EBON,EBON,1,
2012519,2874385,6928743851437137,EBON,EBON,1,
2012519,2919386,6929193861437137,EBON,EBON,1,
2012519,2928852,6929288521437137,EBON,EBON,1,
2012519,2773710,7727737101437137,EBON,EBON,1,
2012519,2845673,7728456731437137,EBON,EBON,1,
2012519,2852774,7728527741437137,EBON,EBON,1,
2012519,2874384,7728743841437137,EBON,EBON,1,
2012519,2874385,7728743851437137,EBON,EBON,1,
2012519,2919386,7729193861437137,EBON,EBON,1,
2012519,2928852,7729288521437137,EBON,EBON,1,
2012519,2773710,8527737101437137,EBON,EBON,1,
2012519,2845673,8528456731437137,EBON,EBON,1,
2012519,2852774,8528527741437137,EBON,EBON,1,
2012519,2874384,8528743841437137,EBON,EBON,1,
2012519,2874385,8528743851437137,EBON,EBON,1,
2012519,2919386,8529193861437137,EBON,EBON,1,
2012519,2928852,8529288521437137,EBON,EBON,1,
2012519,2773710,9327737101437137,EBON,EBON,1,
2012519,2845673,9328456731437137,EBON,EBON,1,
2012519,2852774,9328527741437137,EBON,EBON,1,
2012519,2874384,9328743841437137,EBON,EBON,1,
2012519,2874385,9328743851437137,EBON,EBON,1,
2012519,2919386,9329193861437137,EBON,EBON,1,
2012519,2928852,9329288521437137,EBON,EBON,1,
2012519,2773710,6927737101437160,EPOI,EPOI,1,
2012519,2845673,6928456731437160,EPOI,EPOI,1,
2012519,2852774,6928527741437160,EPOI,EPOI,1,
2012519,2874384,6928743841437160,EPOI,EPOI,1,
2012519,2874385,6928743851437160,EPOI,EPOI,1,
2012519,2919386,6929193861437160,EPOI,EPOI,1,
2012519,2928852,6929288521437160,EPOI,EPOI,1,
2012519,2773710,7527737101437160,EPOI,EPOI,1,
2012519,2845673,7528456731437160,EPOI,EPOI,1,
2012519,2852774,7528527741437160,EPOI,EPOI,1,
2012519,2874384,7528743841437160,EPOI,EPOI,1,
2012519,2874385,7528743851437160,EPOI,EPOI,1,
2012519,2919386,7529193861437160,EPOI,EPOI,1,
2012519,2928852,7529288521437160,EPOI,EPOI,1,
2012519,2773710,8127737101437160,EPOI,EPOI,1,
2012519,2845673,8128456731437160,EPOI,EPOI,1,
2012519,2852774,8128527741437160,EPOI,EPOI,1,
2012519,2874384,8128743841437160,EPOI,EPOI,1,
2012519,2874385,8128743851437160,EPOI,EPOI,1,
2012519,2919386,8129193861437160,EPOI,EPOI,1,
2012519,2928852,8129288521437160,EPOI,EPOI,1,
2012519,2773710,8727737101437160,EPOI,EPOI,1,
2012519,2845673,8728456731437160,EPOI,EPOI,1,
2012519,2852774,8728527741437160,EPOI,EPOI,1,
2012519,2874384,8728743841437160,EPOI,EPOI,1,
2012519,2874385,8728743851437160,EPOI,EPOI,1,
2012519,2919386,8729193861437160,EPOI,EPOI,1,
2012519,2928852,8729288521437160,EPOI,EPOI,1,
2012519,2773710,9327737101437160,EPOI,EPOI,1,
2012519,2845673,9328456731437160,EPOI,EPOI,1,
2012519,2852774,9328527741437160,EPOI,EPOI,1,
2012519,2874384,9328743841437160,EPOI,EPOI,1,
2012519,2874385,9328743851437160,EPOI,EPOI,1,
2012519,2919386,9329193861437160,EPOI,EPOI,1,
2012519,2928852,9329288521437160,EPOI,EPOI,1,
2012519,2773710,9927737101437160,EPOI,EPOI,1,
2012519,2845673,9928456731437160,EPOI,EPOI,1,
2012519,2852774,9928527741437160,EPOI,EPOI,1,
2012519,2874384,9928743841437160,EPOI,EPOI,1,
2012519,2874385,9928743851437160,EPOI,EPOI,1,
2012519,2919386,9929193861437160,EPOI,EPOI,1,
2012519,2928852,9929288521437160,EPOI,EPOI,1,
2012519,2773710,7127737101437156,EBRI,EBRI,1,
2012519,2845673,7128456731437156,EBRI,EBRI,1,
2012519,2852774,7128527741437156,EBRI,EBRI,1,
2012519,2874384,7128743841437156,EBRI,EBRI,1,
2012519,2874385,7128743851437156,EBRI,EBRI,1,
2012519,2919386,7129193861437156,EBRI,EBRI,1,
2012519,2928852,7129288521437156,EBRI,EBRI,1,
2012519,2773710,7927737101437156,EBRI,EBRI,1,
2012519,2845673,7928456731437156,EBRI,EBRI,1,
2012519,2852774,7928527741437156,EBRI,EBRI,1,
2012519,2874384,7928743841437156,EBRI,EBRI,1,
2012519,2874385,7928743851437156,EBRI,EBRI,1,
2012519,2919386,7929193861437156,EBRI,EBRI,1,
2012519,2928852,7929288521437156,EBRI,EBRI,1,
2012519,2773710,8727737101437156,EBRI,EBRI,1,
2012519,2845673,8728456731437156,EBRI,EBRI,1,
2012519,2852774,8728527741437156,EBRI,EBRI,1,
2012519,2874384,8728743841437156,EBRI,EBRI,1,
2012519,2874385,8728743851437156,EBRI,EBRI,1,
2012519,2919386,8729193861437156,EBRI,EBRI,1,
2012519,2928852,8729288521437156,EBRI,EBRI,1,
2012519,2773710,9527737101437156,EBRI,EBRI,1,
2012519,2845673,9528456731437156,EBRI,EBRI,1,
2012519,2852774,9528527741437156,EBRI,EBRI,1,
2012519,2874384,9528743841437156,EBRI,EBRI,1,
2012519,2874385,9528743851437156,EBRI,EBRI,1,
2012519,2919386,9529193861437156,EBRI,EBRI,1,
2012519,2928852,9529288521437156,EBRI,EBRI,1,
2012519,2773711,727737111872886,QOLE,QOLE,1,
2012519,2773712,727737121872886,QOLE,QOLE,1,
2012519,2773711,727737111872910,EPAX,EPAX,1,
2012519,2773712,727737121872910,EPAX,EPAX,1,
2012519,2773710,7527737101761029,EVOL,EVOL,1,
2012519,2845673,7528456731761029,EVOL,EVOL,1,
2012519,2852774,7528527741761029,EVOL,EVOL,1,
2012519,2874384,7528743841761029,EVOL,EVOL,1,
2012519,2874385,7528743851761029,EVOL,EVOL,1,
2012519,2919386,7529193861761029,EVOL,EVOL,1,
2012519,2928852,7529288521761029,EVOL,EVOL,1,
2012519,2773710,8327737101761029,EVOL,EVOL,1,
2012519,2845673,8328456731761029,EVOL,EVOL,1,
2012519,2852774,8328527741761029,EVOL,EVOL,1,
2012519,2874384,8328743841761029,EVOL,EVOL,1,
2012519,2874385,8328743851761029,EVOL,EVOL,1,
2012519,2919386,8329193861761029,EVOL,EVOL,1,
2012519,2928852,8329288521761029,EVOL,EVOL,1,
2012519,2773710,9127737101761029,EVOL,EVOL,1,
2012519,2845673,9128456731761029,EVOL,EVOL,1,
2012519,2852774,9128527741761029,EVOL,EVOL,1,
2012519,2874384,9128743841761029,EVOL,EVOL,1,
2012519,2874385,9128743851761029,EVOL,EVOL,1,
2012519,2919386,9129193861761029,EVOL,EVOL,1,
2012519,2928852,9129288521761029,EVOL,EVOL,1,
2012519,2773710,9927737101761029,EVOL,EVOL,1,
2012519,2845673,9928456731761029,EVOL,EVOL,1,
2012519,2852774,9928527741761029,EVOL,EVOL,1,
2012519,2874384,9928743841761029,EVOL,EVOL,1,
2012519,2874385,9928743851761029,EVOL,EVOL,1,
2012519,2919386,9929193861761029,EVOL,EVOL,1,
2012519,2928852,9929288521761029,EVOL,EVOL,1,
2012519,2773711,8327737111872904,EKLO,EKLO,1,
2012519,2773712,8327737121872904,EKLO,EKLO,1,
2012519,2773704,8727737041437089,ECLO,ECLO,1,
2012519,2773705,8727737051437089,ECLO,ECLO,1,
2012519,2773715,8727737151437089,ECLO,ECLO,1,
2012519,2773716,8727737161437089,ECLO,ECLO,1,
2012519,2773704,9727737041437091,EJTO,EJTO,1,
2012519,2773705,9727737051437091,EJTO,EJTO,1,
2012519,2773715,9727737151437091,EJTO,EJTO,1,
2012519,2773716,9727737161437091,EJTO,EJTO,1,
2012519,2773714,9727737141702910,ERRE,ERRE,1,
2012520,2773704,1127737041437087,ILRI,ILRI,1,
2012520,2773705,1127737051437087,ILRI,ILRI,1,
2012520,2773715,1127737151437087,ILRI,ILRI,1,
2012520,2773716,1127737161437087,ILRI,ILRI,1,
2012520,2773704,1727737041437087,ILRI,ILRI,1,
2012520,2773705,1727737051437087,ILRI,ILRI,1,
2012520,2773715,1727737151437087,ILRI,ILRI,1,
2012520,2773716,1727737161437087,ILRI,ILRI,1,
2012520,2773704,2327737041437087,ILRI,ILRI,1,
2012520,2773705,2327737051437087,ILRI,ILRI,1,
2012520,2773715,2327737151437087,ILRI,ILRI,1,
2012520,2773716,2327737161437087,ILRI,ILRI,1,
2012520,2773704,2927737041437087,ILRI,ILRI,1,
2012520,2773705,2927737051437087,ILRI,ILRI,1,
2012520,2773715,2927737151437087,ILRI,ILRI,1,
2012520,2773716,2927737161437087,ILRI,ILRI,1,
2012520,2773704,3527737041437087,ILRI,ILRI,1,
2012520,2773705,3527737051437087,ILRI,ILRI,1,
2012520,2773715,3527737151437087,ILRI,ILRI,1,
2012520,2773716,3527737161437087,ILRI,ILRI,1,
2012520,2773704,4127737041437087,ILRI,ILRI,1,
2012520,2773705,4127737051437087,ILRI,ILRI,1,
2012520,2773715,4127737151437087,ILRI,ILRI,1,
2012520,2773716,4127737161437087,ILRI,ILRI,1,
2012520,2773704,4727737041437087,ILRI,ILRI,1,
2012520,2773705,4727737051437087,ILRI,ILRI,1,
2012520,2773715,4727737151437087,ILRI,ILRI,1,
2012520,2773716,4727737161437087,ILRI,ILRI,1,
2012520,2773704,527737041437087,ILRI,ILRI,1,
