0,0,0,0,-2,1
1,0,0,0,0,1
0,1,1,0,0,-1
0,-1,0,0,-1,0
1,0,1,0,0,1
1,0,1,0,1,1
0,0,0,0,1,1
2,0,-1,-1,0,1
1,-1,1,0,0,0
1,-1,-1,2,1,1
0,0,0,0,0,0
6,0,3,1,2,1
1,1,0,0,0,-1
0,0,0,0,-1,0
1,1,1,0,0,0
0,1,0,0,-1,8
1,2,0,0,0,-1
0,0,0,-1,-1,-1
0,0,0,0,0,1
0,1,1,1,1,1
0,1,0,1,1,1
0,1,-1,0,0,0
1,0,0,0,-1,-1
0,0,0,-1,0,0
0,1,0,1,0,0
1,0,0,-1,-1,0
0,0,0,0,-1,-1
0,0,1,0,0,0
8,0,0,0,0,0
-2,0,-1,0,0,0
0,1,1,0,0,0
1,1,0,0,2,0
1,0,1,1,0,-1
1,1,-1,1,1,0
1,0,1,2,1,1
1,0,0,-1,0,0
0,0,0,-1,0,0
0,1,0,0,-1,0
2,0,1,0,0,0
1,0,1,0,0,1
0,1,1,0,1,0
0,0,0,0,-1,0
0,1,1,0,1,0
0,0,0,-1,-1,0
0,0,-1,-1,0,0
0,-1,0,0,0,0
1,1,-1,0,0,1
-2,-1,-1,0,0,0
0,1,0,1,2,0
0,1,0,0,0,1
0,0,0,0,1,0
1,1,0,-1,0,0
1,2,1,0,0,0
1,0,0,-1,0,1
1,1,1,0,0,1
0,1,0,0,0,0
0,0,0,2,1,1
0,0,1,0,1,1
0,0,0,0,0,0
0,0,0,0,0,-1
1,0,-1,0,1,1
0,1,1,0,0,0
1,1,0,0,0,0
0,0,0,0,-1,0
0,1,1,0,0,0
0,1,0,0,0,0
0,0,-1,0,1,1
0,1,0,0,0,1
1,2,2,2,1,2
0,1,1,0,-1,0
1,1,1,0,0,0
0,0,0,0,0,0
0,0,0,0,1,1
0,1,1,2,1,11
0,-1,-1,-1,-1,-1
0,-1,0,0,0,0
1,0,-1,0,0,0
3,0,-2,-1,0,0
0,0,0,0,-1,1
1,-1,0,0,0,-1
2,-1,-1,0,0,0
1,0,0,0,-1,1
0,0,0,-1,0,1
1,1,0,-1,-1,1
0,-1,0,-1,-1,-1
1,0,-2,0,0,0
1,-1,-1,1,1,0
0,-1,0,0,-1,1
2,0,0,0,0,0
1,0,0,-1,0,-1
1,1,1,1,0,0
1,1,1,1,0,0
0,1,0,0,-1,-1
2,0,0,-1,-1,0
0,1,1,1,-1,-1
1,2,0,0,0,0
1,2,1,0,0,0
0,1,0,0,0,1
0,1,0,0,1,0
0,0,0,0,0,-1
0,0,0,0,-1,0
0,0,0,0,-1,1
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,-1,0
0,1,0,0,0,-2
2,1,0,0,0,1
1,1,0,0,1,0
1,1,0,0,0,0
0,0,0,0,-1,30
1,0,0,0,0,0
0,0,1,0,0,0
2,1,0,1,1,0
0,-1,0,0,-1,-2
2,1,0,0,0,0
1,0,0,0,0,-1
2,1,0,0,1,1
0,1,-1,0,0,0
0,0,0,-1,0,-1
1,0,-1,-1,-1,0
0,0,0,1,1,0
0,1,0,0,0,-1
1,1,-1,0,1,1
0,0,0,0,-1,0
0,0,0,0,0,0
0,0,0,1,1,0
0,0,0,0,0,0
0,0,0,0,0,2
-1,0,0,0,0,1
0,1,0,0,0,-1
0,0,1,0,0,0
0,0,0,-1,-1,-1
0,0,0,0,-1,0
1,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,-1,-1
0,0,0,0,0,1
0,0,0,0,-1,0
0,1,1,0,0,0
1,1,0,-1,0,-1
1,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,-1,-1
1,1,1,1,0,21
0,0,0,0,1,-1
1,1,0,-1,0,0
1,1,0,0,0,0
0,2,1,1,0,0
0,0,-1,0,0,-1
0,0,0,-1,-1,0
0,0,0,-1,0,1
1,0,-1,0,0,-1
0,1,0,0,0,0
1,1,1,0,1,0
1,-1,14,-1,0,0
2,-2,1,0,1,1
0,-2,0,0,-1,0
1,-1,0,5,5,5
1,0,0,0,0,0
1,2,-1,0,0,-1
1,1,1,0,-1,-1
0,0,0,-1,-1,-1
0,1,1,0,-1,0
0,0,0,-1,-1,0
0,1,0,0,0,0
0,0,0,-1,-1,-1
1,0,0,1,-1,0
0,0,0,0,0,0
1,2,0,0,0,1
0,1,0,-1,0,-1
0,0,0,0,0,0
0,1,0,0,-1,1
0,0,0,0,1,1
0,1,0,0,-1,0
0,0,0,0,0,0
1,2,0,0,1,1
0,0,0,0,0,0
0,1,0,-1,0,0
1,0,0,-1,-1,-1
0,2,0,0,0,0
1,2,1,0,-1,-1
0,1,0,0,-1,0
0,1,0,0,0,-1
2,0,0,0,1,1
0,0,0,0,-1,1
0,0,0,0,0,0
1,2,0,1,0,1
1,0,0,1,0,-1
1,-1,0,2,1,0
1,1,-1,0,0,-1
0,0,0,0,-1,0
1,0,0,0,1,0
2,1,0,-1,-1,0
1,0,0,0,-1,0
0,0,-1,1,2,0
3,3,1,2,1,1
0,1,-1,0,0,-2
0,0,0,-1,-1,-1
1,0,1,1,1,1
0,0,-1,0,-1,-1
0,0,1,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
1,1,1,0,0,-1
0,0,0,0,0,1
0,0,0,0,0,0
0,1,1,0,-1,0
0,0,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
1,2,0,0,0,0
1,0,0,1,0,1
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,0,-1
1,0,0,-1,0,0
0,0,-1,0,0,0
0,0,-1,0,0,-2
0,0,0,0,0,-1
0,0,0,1,1,0
1,0,0,-1,0,0
1,0,0,0,0,-1
1,1,0,1,1,0
0,1,-1,0,0,30
0,1,-1,0,0,-1
0,2,0,0,0,0
0,0,-1,0,0,-1
0,0,0,-1,-1,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,-1,0,-1
1,1,0,-1,0,1
0,1,0,0,0,0
1,1,-1,0,0,-1
0,0,0,-1,0,0
0,0,0,0,0,0
1,1,0,0,0,0
0,1,-1,0,0,0
-3,-3,-4,0,0,-2
0,0,0,0,0,0
0,1,1,-1,0,1
0,0,0,-1,-1,0
1,0,0,0,0,0
0,1,1,0,0,-1
0,0,0,0,0,-1
1,0,1,0,0,0
0,2,7,7,7,8
1,0,0,-1,-1,0
2,2,1,2,1,-1
0,1,0,0,0,-1
1,1,0,1,-1,1
1,1,0,0,1,0
0,0,-1,0,0,0
1,1,1,1,0,1
1,2,1,0,1,0
0,1,0,0,0,0
0,0,0,-1,0,0
-1,0,0,-1,-1,-1
0,0,0,-1,0,0
0,0,0,-1,0,0
0,0,0,1,-1,-1
0,1,-1,0,0,0
1,0,0,1,0,0
1,1,0,0,0,0
0,0,-1,-1,0,0
0,1,0,-1,-1,0
0,1,-1,0,0,0
0,0,-1,0,0,-1
1,1,2,1,1,1
0,0,0,0,0,0
0,1,-1,0,1,0
1,0,3,1,2,1
1,0,0,-1,-1,-1
0,0,0,0,0,0
1,0,0,-1,0,-1
