from_stop_id,to_stop_id,transfer_type,min_transfer_time
1824,2364,2,368
1825,7376190,2,395
2149,4035037,2,191
2149,4035036,2,208
4037296,1825,2,460
4471735,1794,2,237
7898943,1644,2,223
2475,3887783,2,270
2030,4008222,2,191
2475,4037008,2,270
2030,4008223,2,208
7946164,2404,2,263
7898923,1834,2,256
2497,7911747,2,216
7931985,2537,2,209
2217,7921049,2,284
2122,7899771,2,240
2122,7899772,2,186
2068,7964940,2,196
6217406,2030,2,191
2082,7965044,2,288
3812975,2364,2,370
3813002,2122,2,216
2082,7965045,2,237
2391,4473030,2,208
2303,7920970,2,195
2364,2366,2,113
4022899,2030,2,274
2524,7920842,2,216
2339,7931826,2,201
7931477,2117,2,196
2339,7931825,2,203
2082,7964983,2,288
7898943,2524,2,223
7898924,2339,2,260
2339,2302,2,180
5121381,2364,2,235
2068,4035984,2,196
5675639,2068,2,196
1794,7931899,2,234
1794,7931898,2,242
7946000,2030,2,284
2303,7920969,2,216
7991691,1794,2,242
2068,4035985,2,216
3812976,1825,2,388
2339,2338,2,90
2339,1651,2,200
7945953,1825,2,391
2475,6591480,2,256
2149,5018183,2,203
2149,5018181,2,275
2149,5018182,2,245
2404,7931898,2,242
2339,7931844,2,190
2339,7931843,2,204
2404,7931899,2,234
6251764,2404,2,263
1826,2364,2,396
1825,3887780,2,403
2117,7920846,2,196
2117,7920845,2,216
1687,7899773,2,194
1687,7899774,2,216
7898932,2094,2,187
7275297,2149,2,249
7991681,1825,2,458
1825,7946343,2,458
3812934,1665,2,270
1825,3887778,2,460
1825,3887779,2,432
7899731,1780,2,284
3812935,1665,2,256
2149,4037216,2,274
7153058,2404,2,222
2149,4037215,2,249
8007532,2497,2,224
6673104,2186,2,261
2364,4037002,2,458
2364,4037001,2,432
2364,4037000,2,460
2030,2545,2,277
2364,4037004,2,225
2364,4037003,2,254
6251763,1794,2,222
7899434,1834,2,189
2122,7911748,2,186
7921309,2186,2,234
2363,1825,2,367
2528,2404,2,102
8007382,2497,2,224
7898924,1834,2,260
3672105,1834,2,270
2339,2371,2,90
7899438,1789,2,247
7946205,1794,2,222
7898932,2081,2,187
1825,7899560,2,252
1825,7899561,2,252
1825,7899562,2,399
1825,7899563,2,432
2475,4473031,2,270
2364,4045007,2,225
8007532,1687,2,224
2030,5018182,2,245
2187,1997,2,155
7899455,2339,2,204
2030,5018183,2,203
2364,4045009,2,432
2030,5018181,2,275
2339,4037174,2,196
2339,4037173,2,210
2339,4037171,2,204
8007383,1687,2,194
1665,4037008,2,270
7945975,2364,2,405
7945976,1825,2,391
2339,3926286,2,217
2339,3926289,2,196
2339,3926287,2,198
2339,3926288,2,210
4473147,1825,2,458
1644,7899028,2,216
1644,7899029,2,201
1825,4473027,2,235
2404,7946354,2,209
2404,7946355,2,234
2404,7946356,2,242
7898939,2117,2,216
1825,4473028,2,254
1825,4473029,2,229
7920913,2364,2,460
2409,5138190,2,261
2409,5138191,2,188
1781,7275667,2,208
3343796,2094,2,180
2537,5121368,2,269
2404,7946353,2,209
7921308,2186,2,259
4471838,1836,2,195
2149,2148,2,89
7898937,2543,2,288
7275162,2186,2,261
5121383,2364,2,258
2149,2147,2,20
2149,7691432,2,225
1781,5121375,2,208
7991692,2404,2,234
1926,7913247,2,292
3343796,2081,2,180
1825,3887812,2,418
7920913,1825,2,460
1834,2371,2,90
1781,6591479,2,208
2149,7691431,2,225
1781,4473030,2,208
1834,3926289,2,196
1834,3926288,2,210
3813039,2364,2,389
2391,7946344,2,288
1834,3926287,2,198
1834,3926286,2,217
7946205,2404,2,222
1834,7931826,2,201
1834,7931825,2,203
2391,6591479,2,208
2069,7911793,2,243
1836,3893375,2,195
3343756,2537,2,180
2525,2409,2,90
7946164,1794,2,263
4471735,2404,2,237
7920915,2364,2,254
7931719,2364,2,428
7991682,2364,2,391
7898923,2339,2,256
4022898,2149,2,249
1825,7991677,2,391
1825,7991676,2,458
1997,7945876,2,270
1834,7931843,2,204
3813002,2073,2,216
2391,7275667,2,208
4473149,1825,2,225
4473143,2186,2,261
1834,7931844,2,190
1836,3893374,2,216
3672105,2339,2,270
7932210,2364,2,226
2524,7921042,2,211
2030,7691432,2,225
2030,7691431,2,225
7932211,2364,2,226
7946002,2030,2,234
4471838,2303,2,195
1825,7991687,2,399
1825,7991686,2,458
6673103,1997,2,270
2497,2517,2,81
7991685,2404,2,237
1962,7921110,2,285
2068,7964982,2,216
7931477,2068,2,196
7931717,1825,2,225
1834,7920857,2,196
1834,7920858,2,210
7931985,1657,2,209
2094,4036210,2,224
1834,7920859,2,201
7945938,2030,2,234
1794,4036787,2,263
1794,4036786,2,222
7931719,1825,2,428
1974,7920971,2,216
7945975,1825,2,405
7899435,2339,2,201
2404,7920966,2,234
2404,7920965,2,237
2404,7920964,2,227
2404,7920963,2,227
6217405,2149,2,208
2364,7991676,2,458
2364,7991677,2,391
7921212,2404,2,225
2094,7900254,2,222
2094,7900255,2,205
2081,4036201,2,224
2094,4036201,2,224
2339,7899173,2,250
7275296,2149,2,274
2339,7899174,2,210
1789,7900265,2,210
2186,7945927,2,210
2364,7991686,2,458
2186,7945926,2,261
2364,7946285,2,432
2364,7946286,2,460
2094,7900257,2,207
2364,7946283,2,254
1781,3887810,2,233
2094,7900256,2,187
2364,7946284,2,391
2364,7991687,2,399
2364,7946282,2,260
3343755,1657,2,180
4037298,1825,2,207
7292434,1997,2,270
2069,7911743,2,222
1644,7920842,2,216
2524,5582590,2,235
2094,7900441,2,205
2094,7900440,2,207
7920947,2364,2,260
1996,2186,2,84
1834,7920883,2,204
1834,1835,2,200
2524,5582589,2,223
3813038,1825,2,418
1834,1833,2,90
2068,7920846,2,196
1834,1832,2,90
7932214,2364,2,460
2497,1637,2,96
2068,7920845,2,216
1657,5121368,2,269
1825,5121374,2,222
1825,5121373,2,254
1825,5121372,2,226
7176399,1834,2,270
2030,2028,2,86
2082,7898848,2,288
2082,7898849,2,237
2030,2029,2,73
2543,7920848,2,237
1997,7275459,2,210
7921199,1794,2,248
2217,7932100,2,250
2217,7932101,2,238
2082,7920848,2,237
7932214,1825,2,460
7931753,2364,2,458
7932210,1825,2,226
1834,2302,2,180
3754199,2186,2,270
2392,1781,2,121
1834,2531,2,200
2081,4036210,2,224
7176400,1834,2,270
6217399,1687,2,216
7920948,1825,2,406
7920919,2391,2,200
1644,7920886,2,211
1997,7275437,2,270
1997,7275438,2,261
7945974,2364,2,260
2186,7275438,2,261
2186,7275437,2,270
7920919,1781,2,200
4471736,2303,2,216
1834,2338,2,90
1825,7275665,2,254
1825,7275666,2,229
1998,2186,2,130
7945974,1825,2,260
1825,7275664,2,235
1793,1794,2,90
7946001,2149,2,218
3813001,2073,2,237
1665,5121376,2,256
2475,7275668,2,270
3343795,2081,2,180
7945954,1825,2,225
1781,7946344,2,288
2528,1794,2,98
3812976,2364,2,388
1836,7920970,2,195
7991691,2404,2,242
7899683,1780,2,278
7991681,2364,2,458
2149,2545,2,256
2187,2186,2,129
7921198,2404,2,237
2186,7275459,2,210
7275163,2186,2,197
7898942,1644,2,235
7176399,2339,2,270
2149,7899766,2,208
2149,7899765,2,191
2399,7900436,2,210
